CVE_ZM,NOM_ZM,CVE_MUN,NOM_MUN,CVE_ENT,NOM_ENT
29.01,Tlaxcala-Apizaco,29018,Contla de Juan Cuamatzi,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29024,Panotla,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29026,Santa Cruz Tlaxcala,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29031,Tetla de la Solidaridad,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29033,Tlaxcala,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29035,Tocatlán,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29036,Totolac,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29038,Tzompantepec,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29039,Xaloztoc,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29043,Yauhquemehcan,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29048,La Magdalena Tlaltelulco,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29049,San Damián Texóloc,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29050,San Francisco Tetlanohcan,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29060,Santa Isabel Xiloxoxtla,29,Tlaxcala
30.07,Veracruz,30011,Alvarado,30,Veracruz de Ignacio de la Llave
30.07,Veracruz,30028,Boca del Río,30,Veracruz de Ignacio de la Llave
30.07,Veracruz,30090,Jamapa,30,Veracruz de Ignacio de la Llave
30.07,Veracruz,30100,Manlio Fabio Altamirano,30,Veracruz de Ignacio de la Llave
30.07,Veracruz,30105,Medellín de Bravo,30,Veracruz de Ignacio de la Llave
30.07,Veracruz,30193,Veracruz,30,Veracruz de Ignacio de la Llave
31.01,Mérida,31002,Acanceh,31,Yucatán
31.01,Mérida,31013,Conkal,31,Yucatán
31.01,Mérida,31038,Hunucmá,31,Yucatán
31.01,Mérida,31041,Kanasín,31,Yucatán
31.01,Mérida,31050,Mérida,31,Yucatán
31.01,Mérida,31063,Samahil,31,Yucatán
31.01,Mérida,31090,Timucuy,31,Yucatán
31.01,Mérida,31093,Tixkokob,31,Yucatán
31.01,Mérida,31095,Tixpéhual,31,Yucatán
31.01,Mérida,31100,Ucú,31,Yucatán
31.01,Mérida,31101,Umán,31,Yucatán
32.01,Zacatecas-Guadalupe,32017,Guadalupe,32,Zacatecas
32.01,Zacatecas-Guadalupe,32032,Morelos,32,Zacatecas
32.01,Zacatecas-Guadalupe,32050,Vetagrande,32,Zacatecas
32.01,Zacatecas-Guadalupe,32056,Zacatecas,32,Zacatecas
32.01,Zacatecas-Guadalupe,32057,Trancoso,32,Zacatecas
